Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr
10-Jan-11,22,244,105,52,52,484,438,,155,77,53,86,74,27,18,373,376,162,17
10-Jan-11,23,111,67,41,32,335,337,,71,58,25,15,31,11,1,200,232,131,7
11-Jan-11,0,72,31,14,15,106,144,,86,20,23,9,18,7,5,95,117,60,7
11-Jan-11,1,27,19,7,2,58,103,,42,14,10,5,5,6,1,22,63,27,10
11-Jan-11,2,15,9,2,5,26,27,,19,6,0,8,4,0,0,15,27,13,0
11-Jan-11,3,4,12,2,6,23,27,,21,12,3,6,0,0,0,13,16,7,0
11-Jan-11,4,18,20,3,8,20,44,,8,9,0,4,0,0,1,46,38,29,0
11-Jan-11,5,17,44,16,84,61,44,,21,14,21,24,3,0,18,64,79,27,12
11-Jan-11,6,67,202,189,471,151,133,,90,125,197,84,34,10,95,238,375,130,67
11-Jan-11,7,209,682,650,1761,243,366,,272,327,806,413,84,16,191,523,1147,318,202
11-Jan-11,8,609,1992,1956,4870,503,836,,769,886,2140,1056,155,28,385,1231,3214,802,309
11-Jan-11,9,439,1070,951,1810,595,1109,,875,874,881,515,154,64,137,660,1393,296,132
11-Jan-11,10,542,628,461,680,821,1534,,1338,1132,329,245,182,81,115,617,899,220,129
11-Jan-11,11,721,597,441,602,1220,2204,,2091,1343,298,182,171,101,126,965,1001,359,131
11-Jan-11,12,1224,1581,634,917,1866,3360,,3734,2553,840,379,312,180,383,1283,2056,499,227
11-Jan-11,13,1461,1615,705,861,2246,3889,,4279,2846,786,348,289,125,350,1235,2169,475,296
11-Jan-11,14,1325,833,524,638,1829,3427,,3389,1995,373,227,221,85,140,1196,1714,475,181
11-Jan-11,15,1228,623,589,865,1841,3425,,3180,1711,359,250,169,51,139,1202,1533,482,175
11-Jan-11,16,1234,785,963,1743,1755,3059,,2939,1523,855,472,141,82,192,1224,2104,662,164
11-Jan-11,17,1673,1486,1949,3923,1851,3139,,2630,1262,1787,987,145,44,429,1893,3661,1193,290
11-Jan-11,18,973,939,913,1851,1610,2132,,1422,698,659,412,82,29,276,1155,1678,585,194
11-Jan-11,19,584,424,255,539,1245,1215,,587,335,167,166,73,24,106,596,716,277,53
11-Jan-11,20,524,223,110,193,1287,888,,321,187,108,123,81,42,47,478,596,242,42
11-Jan-11,21,458,214,111,128,858,778,,246,185,51,91,157,80,26,382,608,261,34
11-Jan-11,22,206,141,58,61,549,509,,215,118,50,66,23,5,17,322,453,194,7
11-Jan-11,23,149,71,34,35,465,379,,125,60,21,42,31,1,3,189,306,152,5
12-Jan-11,0,69,24,16,14,135,192,,63,37,9,26,14,10,1,87,153,80,10
12-Jan-11,1,30,11,8,6,45,94,,50,14,3,6,0,0,4,30,56,35,0
12-Jan-11,2,29,11,3,2,53,41,,20,10,4,5,0,3,0,31,34,29,0
12-Jan-11,3,11,14,2,0,12,32,,91,5,2,3,2,0,0,21,14,6,1
12-Jan-11,4,14,6,2,5,20,37,,11,12,2,5,0,3,3,31,46,32,0
12-Jan-11,5,19,48,20,87,51,44,,24,16,28,19,2,1,15,66,86,42,16
12-Jan-11,6,72,211,181,554,121,139,,107,60,184,78,9,4,71,188,368,126,42
12-Jan-11,7,191,757,830,2056,180,360,,274,297,757,308,44,11,169,579,1133,304,130
